,cid,text,time,author,channel,votes,photo,heart
811,Ugxkzjt_qYzlmK8jAxJ4AaABAg,"Completely addicted to this song. Superb music, picturization.... Love from Kerala.",10 hours ago,libin poonthura,UCQUomnQTnAp4-J7w8Voew-Q,2,https://yt3.ggpht.com/ytc/AAUvwni6YwfWspZzw56JnCw1_32INykt3XBgSl8P80Zq2g=s176-c-k-c0x00ffffff-no-rj,False
812,UgzmRblsKDsiiLGOin54AaABAg,200 Million!!!,10 hours ago,Bring back Humanity Love,UCxTbqcM9O-9Eqp2BYJPH-Vg,0,https://yt3.ggpht.com/ytc/AAUvwnj1nHrxYAvAYvcpkc9oNot04DeeUQSuL5ns6Gg=s176-c-k-c0x00ffffff-no-rj,False
813,UgyerHIHJnC_fRFiJvh4AaABAg,👉Samma hit song👌👌👌👌👌,10 hours ago,Durka Durka,UC5D34bG5yj4o-jYmSnT3-Cw,0,https://yt3.ggpht.com/ytc/AAUvwniMMxekDksHmP3V4rKoOslswBhvSBiuepQ9HBZsoh43JqVupmu01EGpEW8M6yVP=s176-c-k-c0x00ffffff-no-rj,False
814,UgwPIUexpF8DrVKAXjF4AaABAg,මරු සින්දුව,10 hours ago,සුභාෂ් සදුන් කුමාර සදුන්,UClZ9hpOFzW9eVEPXRob3F5Q,0,https://yt3.ggpht.com/ytc/AAUvwngqlPukS7-gf6_STsPn03hC0OcJhr2rvdTglQ=s176-c-k-c0x00ffffff-no-rj,False
815,Ugzev4mKGL25o2os4G14AaABAg,its bugu bugu or kuku kuku 😅,10 hours ago,Sahil 650,UCUe2Ei43e3bl9HdvzKNuiTQ,0,https://yt3.ggpht.com/ytc/AAUvwngwe1OrtkyuPUm9pRicfmJurvVtKVIuGd2tAAcoPA=s176-c-k-c0x00ffffff-no-rj,False
816,UgxJH3L8e7Nfn7TjCCR4AaABAg,❤❤❤❤,10 hours ago,Keerthini 2711,UCh8H7NYV783Ag00ZP1jjUrQ,0,https://yt3.ggpht.com/ytc/AAUvwnihRWAxzyipn2JEL1UPAisHaoYMIKQ8vcrSgMK9=s176-c-k-c0x00ffffff-no-rj,False
817,UgxKXkUpP7NP7Up4NmB4AaABAg,I don't know a single word but I love this song,10 hours ago,Sangeeta Salam,UCqliF8357mt87M6YkqKBlSQ,0,https://yt3.ggpht.com/ytc/AAUvwni5jOXA4l5AFpbIu7eLjR3PWNuyOuiJ5Uq7TA=s176-c-k-c0x00ffffff-no-rj,False
818,UgxlY-VcGvuO5_RMI354AaABAg,200Million views,10 hours ago,Vijay V,UC_C8Z2XHxV680XKjpIWYxaw,0,https://yt3.ggpht.com/ytc/AAUvwnh-Uwhwo-efsK1jDEU8fD66JZ3NM9SyKi_9s209gg=s176-c-k-c0x00ffffff-no-rj,False
819,UgxQ1-YpV8MsWN6Q1o94AaABAg,Kgf Teaser Record Break enjami Song,10 hours ago,Update Tamizha,UCklneXmaicFuU6fd_wrODLw,1,https://yt3.ggpht.com/ytc/AAUvwngd5qclT5QnvgSXX0j6prqG-6y9DeQgrtMLp2y0=s176-c-k-c0x00ffffff-no-rj,False
820,UgyTxn3YDAOq7TvOYpJ4AaABAg,Pwolihu,10 hours ago,Shyju Shyju,UCQhoQFbmCYKQfcMdKXnMsFg,1,https://yt3.ggpht.com/ytc/AAUvwng6-CWuPAyPJRc1K0a4qFxG3b8oP65SdgF8u8g-hsqU-sGwKTmtdgV0hyuEfvz8=s176-c-k-c0x00ffffff-no-rj,False
821,UgxvkqCoYJOaxEGCce54AaABAg,😍😘,10 hours ago,Sandhya pasumarthi Sandhya pasumarthi,UC2HhmkFvmVK9rbXX_AplL7g,1,https://yt3.ggpht.com/ytc/AAUvwnjmFEP3vuecxKL--EN35RwwjcHSrstBeQ6QLg=s176-c-k-c0x00ffffff-no-rj,False
822,UgxYrjSowVJxbGh32v14AaABAg,Dislikers are wadakkanungla? 😂,16 hours ago,Abdur Rahman,UC5VSlCpE2NuP8Y9nZp9QmBw,3,https://yt3.ggpht.com/ytc/AAUvwnjoUtqcGhK2vS0cgDccS1O8MSziywVHhuYWIheR=s176-c-k-c0x00ffffff-no-rj,False
823,UgyVw0VpYcyfhH9Zcf94AaABAg,What is this song about?,15 hours ago,Ne M,UCr_dFHZR5jN_I5eKQzn1IZg,0,https://yt3.ggpht.com/ytc/AAUvwnjTyCbNQxq2VijfOBYLx5MK5ZUN_GvzgQhMoKk4AbM=s176-c-k-c0x00ffffff-no-rj,False
824,UgwIpQ30z7zGYfgvyt14AaABAg,Congrats 200 million...🔥🔥 this is a pride for tamilnadu...,15 hours ago,Fear Swag,UCjBxWkJncyr1D6bXj56U0yA,2,https://yt3.ggpht.com/ytc/AAUvwnhpBBmElYn4mxGatYpAS5bwz5Tljl_y9hrBwjlF=s176-c-k-c0x00ffffff-no-rj,False
825,UgwNHxKE-ipW0cl-8YZ4AaABAg,This song mad me feel like a Tamil and Caribbean combo. Nailed it machaa,15 hours ago,udayan shinnyah,UCuUv0oWYv86nb10ieHSWcNg,1,https://yt3.ggpht.com/ytc/AAUvwniitYx6gDDuu5_PhLwW9a3IqWDy2yhb0jJBzA=s176-c-k-c0x00ffffff-no-rj,False
826,UgzQkI80Nw0wP2sdIGN4AaABAg,Day is incomplete without this song,15 hours ago,KOVAI JN,UCbrhZpYaXWvlGe0F7553wwA,2,https://yt3.ggpht.com/ytc/AAUvwnjHMw1jNjh1VJzHV425wm0qWtAuJVVyHqouk5KrYw=s176-c-k-c0x00ffffff-no-rj,False
827,Ugw9mjuvvKSj4qoFEkt4AaABAg,Any way its superr👏👏👏👏,15 hours ago,ＢＵＬＬＥＴ ᶠᶠ ʳⁱᵈᵉʳ,UCpwuATKTTUScynli_o-ROog,1,https://yt3.ggpht.com/cUFJAcZ9-PGpiUn91GOfXRgcS0iWUJ4AfrenJNqr4PkAJdS0q1TGtRDSyXQS6GncGxMF4mod=s176-c-k-c0x00ffffff-no-rj,False
828,UgwGw_tEIrBbnCzkqzN4AaABAg,Nalla song Yenki nalla ishtama....😍,15 hours ago,Prashanth Reddy Yelti,UCM9wJHn2Eb_Qtt5Ii9sDDfg,1,https://yt3.ggpht.com/ytc/AAUvwng0OozL_EYxAI3wwZDn-8XHabdA16juIy4aorSI=s176-c-k-c0x00ffffff-no-rj,False
829,UgzwmBV1iIeghXzzQnV4AaABAg,"200M hit agiduchu 🤩
Who's here after 200M",15 hours ago,David Jaison,UCaFWYP-Ky3UncMnmwadrrEA,38,https://yt3.ggpht.com/ytc/AAUvwnhsu2zoinOmyML2MIn66FHprC5eYVP2la7BAauDAg=s176-c-k-c0x00ffffff-no-rj,False
830,UgwcD799kIOS2wYGgDJ4AaABAg,Completed 200 m views,14 hours ago,Preeti Valmiki,UCjzbt997GEo0iP49WbbZUsQ,2,https://yt3.ggpht.com/ytc/AAUvwnhASqnXQYgRra6-EFTAl4c7FAb7GFiTdozmZw=s176-c-k-c0x00ffffff-no-rj,False
831,UgzJ_x67NrXnb0x6qZt4AaABAg,"പാട്ട് പൊളി ആകെ ഉള്ള കുഴപ്പം , ex റ്റിക് ടോക്ക് പെണ്പിള്ളേര് എല്ലാം കൂടെ Instagram ൽ reels ഇട്ട് വെറുപ്പിച്ചു....",14 hours ago,Adhi _,UCVvAVjZ7V7hyscdvnZXPwBA,1,https://yt3.ggpht.com/ytc/AAUvwni52YLgVJKncHXZxEvFpC6XvZLrcgvF_XSErPHUAQ=s176-c-k-c0x00ffffff-no-rj,False
832,UgwpE1UvqSfmonbPg9V4AaABAg,200M crossed😀. My dear all brothers and sisters all over the world.. Enjoy Enjami.. All music lovers HIT LIKE..!!! How many Indians and music lovers like this song?👍🏻,14 hours ago,Prince Raju,UC357w76Zfk6ZPDXmg-rzoyA,2,https://yt3.ggpht.com/ytc/AAUvwng1jFIFZKrOqH6cExS13NqyZpqjCO_Y-F5MnFu0CQ=s176-c-k-c0x00ffffff-no-rj,False
833,UgzGXuzOi9QTc9HnCCp4AaABAg,Dhee - Daenerys  !,13 hours ago,Joshua Bob,UCmKW1BCVBzWNFtMJ6hv4ykg,1,https://yt3.ggpht.com/ytc/AAUvwngcZYL97Mp05OoLRiIpAIwzKt53b05mdzvNZUQXrA=s176-c-k-c0x00ffffff-no-rj,False
834,UgyNrAoZHmd4qF66PcZ4AaABAg,That's a cool song ❤️❤️😘,13 hours ago,ashrith shetty,UC9bBKwFcNKDOWXbtcE601lg,1,https://yt3.ggpht.com/ytc/AAUvwniWL0Fpw0VAi_NPmnrlt9IpGZB2JF27y-Thh_uf=s176-c-k-c0x00ffffff-no-rj,False
